"Data Source","World Development Indicators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","2/21/2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256863448.7709","2069870129.8701","1272835453.4263","1201312829.2752","1315158636.6755","1468317435.2015","1596968946.2371","1639492444.7615","1893726437.2646","1845482173.0273","1911563668.8501","2118467913.3787","2376335048.3998","2807061008.6908","3576615240.4162","4900469511.1019","6384452066.5146","9206301269.7916","11662040713.875","8647937081.2562","9260285755.6242","10142111824.584","10619320682.947","11121464437.042","11609513246.796","10553337518.414","10546136235.522","11527458709.016","12457940694.74","13619290539.212","12641698583.215","13878908628.938","19513474648.243"
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","524000000","509000000","500000000","493000000","518000000","560000000","675000000","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","647000000","721000000","750000000","871000000"
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","77496753.703704","87879341.481481","109079978.88889","131431026.66667","147841734.44444","164369278.88889","182144092.96296","208372846.2963","240923924.81481","290440140.74074","337174861.85185","398637727.77778","438794788.51852","459470370.37037","481707407.40741","499281481.48148","535174074.07407","589429629.62963","577281481.48148","633729629.62963","680618518.51852","727859259.25926","766200000","826370370.37037","800481481.48148","814381481.48148","856396296.2963","919729629.62963","1022962962.963","1157662962.963","1312759259.2593","1370070370.3704","1228329629.6296","1148700000","1281337037.037","1327107407.4074","1325425925.9259","1378829629.6296","1437755555.5556","1489692592.5926","1531151851.8519","1661529629.6296","1725351851.8519","1410796296.2963","1601366666.6667","1867733333.3333"
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18606562977.05","19682883149.261","19922563187.61","21539843446.375","23801123808.18","25976164156.186","27307844369.255","30442724870.836","32714085234.254","36683365869.339","41333606613.377","45216647234.664","52040887850.467","63830877642.537","88963890935.888","97303017888.843","105059356494.42","110349850883.23","118491633469.73","134898330114.73","149985515320.33","176893068617.21","194038397881.5","177265418961.89","193518998163.4","180637129503.85","182475517627.31","189487162519.85","236154038684.29","299871835376.04","311420509067.63","325966686052.58","325518458076.53","312128302417.09","322802490487.72","368166023166.02","401341880620.73","435642611296.59","399674421759.48","389652212056.65","416167815092.91","379629301675.11","395788696012.06","467739079790.33","614659980082.52","695692898676.56","748417562769.64","855007458585.22","1056112427190.4","928762122698.05","1148890200292.4","1398701323029.6","1547649835732.9","1577301840200","1468597690006.2","1351768945139.1","1207580901578.7","1326882104817","1429733668185.9","1394671325960.6","1330381544909.3","1559033756285.1","1692956646855.7"
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6592693841.1849","7311749633.3623","7756110210.1197","8374175257.7308","9169983885.7119","9994070615.86","10887682273.101","11579431668.916","12440625312.869","13582798556.24","15373005557.026","17858486066.747","22059612476.933","29515467706.796","35189299911.661","40059206763.056","42959976221.523","51545758887.686","62052259073.249","73937296963.459","82058912997.235","71034228443.062","71275287569.573","72121016546.652","67985344886.872","69386774408.087","99036164939.162","124168442533.74","133339397080.13","133105805512.22","166463386179.35","173794177961.11","195078126721.76","190379720809.18","203535242741.84","241038283062.65","237250948791.27","212790348404.56","218259904401.96","217259147049.95","197289625479.91","197508773215.32","214394866675.24","262273631180.05","301457562038.54","316092273276.02","336280064332.41","389185571506.05","432051935642.95","401758735822.21","392275107258.67","431685217367.51","409401816050.53","430190979705.96","442584815286.03","381971148530.54","395837353031.5","417261151844.98","454991174096.1","444596155845.25","435049316955.74","479295362747.05","470941926750.74"
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8884848484.8485","5344000000","444658671.58672","1570392598.1495","1193141110.3504","2417331192.9526","3176507376.3184","3962362387.4792","4446368570.6901","4581248566.5016","5272615722.9689","5707616203.7201","6236087738.2828","7276413079.1145","8680405740.9412","13245421880.834","20981929497.619","33049419431.224","48851293785.448","44292427184.949","52909294791.926","65952796427.947","69679944504.197","74160560123.69","75239785452.102","53076235354.746","37866996882.916","40866627351.982","47112470051.77","48174235294.118","42693000000","54825411764.706","78721058823.529"
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999990","202999992","213500006","232749998","260750008","158994962.96296","165444571.42857","178297142.85714","183200000","190205714.28571","242732571.42857","252842285.71429","246804571.42857","304339839.55215","345263492.06349","420986666.66667","448412753.62319","547535555.55556","610225555.55556","782496666.66667","919726666.66667","969046666.66667","1013222222.2222","1082926304.4648","987143931.16699","1149979285.7735","1201725497.0658","1131466494.011","1082403219.4879","1113924130.4115","1132101252.5182","1167398478.3459","1083037670.6048","938632612.02636","925030590.15368","1000428393.8853","869033856.31709","972896267.91542","893770740.20742","808077223.36575","870486065.88314","876794723.06859","825394519.42373","784654423.62048","915257323.3961","1117113079.7365","1273375078.4484","1356199387.4231","1611835857.0459","1781455139.8593","2032135192.0125","2235820809.3201","2333341334.4575","2451606632.2925","2705783329.8048","3104003546.265","2644487776.5008","2723586962.8403","2667182199.5133","2576518879.8235","2649680261.44","2775798697.4719","3338722827.6624"
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.319","14260017387.049","15960106680.673","17371457607.937","18651883472.481","19992040788.459","21376353113.475","23710735894.702","26706196046.793","29821661869.912","37209418018.513","47743801490.375","56033077879.039","65678189097.291","71113882967.607","82839905458.638","101246526194.44","116315456796.92","126829314388.19","104730018470.23","92095926187.533","87184239053.254","83349530159.173","86268264148.38","120018787249.41","149394404105.89","162299103675.26","164221056511.06","205331747947.85","210510999409.33","234781652446.68","224721795708.96","244884129491.2","288025588396.28","279201433224.76","252708051420.84","258528339631.03","258245733221.47","236792460312.47","236746141604.37","258383599375.18","318082528506.59","369214712443.21","385714762230.04","408259840868.82","470922156309.45","517328087920.08","483254171097.81","481420882905","523330354138.13","496152879924.73","521791015247.06","535390200131.02","462335574841.48","476062757356.93","502764720556.35","543299066998.9","535865804349.8","526264230147.39","600748812601.54","583435595579.96"
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195578.4345","235668220.5082","236434954.03858","253927697.25805","269819005.87814","289908680.4264","302925235.152","306221953.10491","326323105.26476","330748244.53957","333627713.49444","335073027.54117","410331856.99122","504376074.18571","554654860.70258","676870140.34153","698408261.92224","750049778.84069","928843469.43173","1186231019.8204","1405251846.5405","1291120188.431","1267778670.359","1095348199.4391","1051134008.7898","1045712789.1488","1336102025.2776","1562412227.9006","1620246083.7948","1502294416.1713","1959965330.1477","1986437796.5305","1695315305.7031","2274558082.7614","1598075943.8677","2169627137.9207","2361116449.3931","2268301646.4671","2455092686.3471","3677393998.7449","3519991440.4791","3666222635.1387","4194342686.2178","5349258094.4824","6190270380.4986","6567654954.389","7034111314.8881","8169048382.8388","9787734526.2397","9738626517.0032","9535345015.7836","10693321363.657","11141358115.899","12517845123.931","13284527846.908","11388160997.109","11821065852.127","12701655845.961","14262408079.701","14390708756.988","15686741893.519","17687623534.666","17396792699.549"
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442815.82119","350247234.26071","379567099.24942","394040667.10634","410321644.96491","422916789.7483","433889766.23944","450753923.54805","460442689.37638","478298645.39382","458404268.76197","482411179.12118","578595521.99013","674773569.87755","751133430.4493","939972703.46302","976547188.05478","1131224878.1886","1475583644.9361","1748480620.524","1928719888.2069","1775842333.5704","1754450096.2372","1600278605.2547","1459880132.1411","1552493196.2842","2036303357.6811","2369834949.7323","2616040478.9931","2615587733.973","3101300778.5641","3135045584.0839","3356692505.1827","3199536465.2333","1895290637.095","2379517975.2806","2586550595.4101","2447669101.9518","2804902367.1469","3389566712.6604","2968370087.5976","3190371080.9477","3622350062.9605","4740768142.6749","5451688537.6096","6146353173.3493","6547419820.3811","7625722836.7685","9451435490.1147","9450696873.3433","10109619740.699","12080295977.563","12561015156.568","13444300485.841","13943016076.744","11832159315.63","12833363045.337","14106955615.344","15890066221.288","16032813501.664","17725010530.789","19642668879.769","18820064797.838"
